,participant_id,experiment,num_correct,time_taken,Age,Sex,Ethnicity
189,189,conditional,35,459.86,32,Female,White
190,190,conditional,36,889.26,44,Male,Mixed
191,191,conditional,34,667.26,32,Female,Black
192,192,conditional,36,223.67,20,Female,White
193,193,conditional,32,531.35,40,Female,Black
194,194,conditional,35,987.72,23,Female,Black
195,195,conditional,37,662.27,24,Female,Black
196,196,conditional,37,455.14,27,Female,White
197,197,conditional,38,225.53,27,Female,Black
198,198,conditional,36,519.82,28,Female,White
199,199,conditional,26,316.83,38,Male,White
